authorMeta/fans,authorMeta/following,authorMeta/verified,authorMeta/video,commentCount,createTimeISO,diggCount,playCount,shareCount,text,videoMeta/duration,clean_text,us_count,them_count,negation_count,intensifier_count,hedge_count,is_polarized
13200000,28,True,303,66000,2020-02-25T12:11:06.000Z,19300000,200600000,377700,Ara Woah  #woah  #woahchallenge  #foryou  #fyp  #meme  #이아라  #틱톡  #tiktok,17,Ara Woah #woah #woahchallenge #foryou #fyp #meme #이아라 #틱톡 #tiktok,0,0,0,0,0,False
1300000,182,False,518,154100,2021-05-05T00:56:03.000Z,15400000,79600000,205400,#fyp #meme #funny #meme #vine,11,#fyp #meme #funny #meme #vine,0,0,0,0,0,False
696800,42,False,90,55300,2022-04-07T14:05:06.000Z,13900000,106100000,323000,The end #funny #funnyvideos #animals #haha #meme #dog #cat #fypage #viral #pets,25,The end #funny #funnyvideos #animals #haha #meme #dog #cat #fypage #viral #pets,0,0,0,0,0,False
510200,56,False,84,70600,2022-05-11T13:15:07.000Z,13100000,72500000,133400,Try not to laugh  hard #meme #trynottolaughtiktoktv,62,Try not to laugh hard #meme #trynottolaughtiktoktv,0,0,1,0,0,False
3300000,690,True,247,35500,2020-04-14T02:04:47.000Z,13100000,62700000,252900,HE DIDN’T HAVE HIS MASK ON  @abbysherm (Follow my insta: JakeyPooV) #fyp #vent #meme #joke,36,HE DIDN’T HAVE HIS MASK ON @abbysherm (Follow my insta: JakeyPooV) #fyp #vent #meme #joke,0,0,0,0,0,False
646700,86,False,127,205200,2021-02-20T21:30:27.000Z,12800000,100800000,795700,DOGS ARE THE BEST . #fyp #foryou #veryfunny #dog #meme #clip,10,DOGS ARE THE BEST . #fyp #foryou #veryfunny #dog #meme #clip,0,0,0,0,0,False
8000000,69,True,147,59900,2019-10-04T22:51:14.000Z,12500000,133200000,707400,The last guy tho  #lol #funny #foryou #foryoupage #fail #meme #relatable #crazy #wow #haha,18,The last guy tho #lol #funny #foryou #foryoupage #fail #meme #relatable #crazy #wow #haha,0,0,0,0,0,False
227000,208,False,3173,113200,2021-12-24T21:05:34.000Z,12100000,69400000,337900,It’s funny how each of them are so different #spiderman #tobeymaguire #andrewgarfield #tomholland #meme #mcu #marveltok #fyp #viral #nowayhome,16,It’s funny how each of them are so different #spiderman #tobeymaguire #andrewgarfield #tomholland #meme #mcu #marveltok #fyp #viral #nowayhome,0,1,0,1,0,True
5800000,2775,True,670,100900,2019-03-01T04:48:20.000Z,11600000,149500000,1200000,Teaching Granny Meme Songs  #foryou #comedy #dametucosita #fox #gmoney #music #meme #lol,13,Teaching Granny Meme Songs #foryou #comedy #dametucosita #fox #gmoney #music #meme #lol,0,0,0,0,0,False
8000000,69,True,147,54500,2020-04-28T19:05:20.000Z,11300000,83100000,196600,Our WHOLE class pranked our teacher Pt.12  (Come back in 24 hours for Part 13) #foryou #foryoupage #fyp #viral #funny #comedy #tiktok #trend #meme,19,Our WHOLE class pranked our teacher Pt.12 (Come back in 24 hours for Part 13) #foryou #foryoupage #fyp #viral #funny #comedy #tiktok #trend #meme,2,0,0,0,0,False
6900000,561,True,1700,46900,2021-04-17T11:17:40.000Z,9500000,109300000,10300,Reply to @_pelin_9 Making Cotton Candy What should I try? Ib: @mooyahyah ✨ #candy #foryou #meme #foryoupage #viral #fyp #asmr,18,Reply to @_pelin_9 Making Cotton Candy What should I try? Ib: @mooyahyah ✨ #candy #foryou #meme #foryoupage #viral #fyp #asmr,0,0,0,0,0,False
2200000,150,False,68,66200,2021-07-30T22:05:54.000Z,9500000,35800000,109800,jimmy fallon is sooo suspicious like what’s wrong jimmathan #viral #comedy #meme #xyzcba,14,jimmy fallon is sooo suspicious like what’s wrong jimmathan #viral #comedy #meme #xyzcba,0,0,0,0,0,False
150200,52,False,5,102300,2022-02-16T16:08:40.000Z,9300000,54000000,505600,#pourtoi#drole#meme,9,#pourtoi#drole#meme,0,0,0,0,0,False
10600000,23,True,820,56600,2020-03-30T10:27:15.000Z,9200000,65000000,522800,His no-no square #memes #comedy #funny #funnymoments #humour #vr #virtualreality #vrgame #gaming #meme,10,His no-no square #memes #comedy #funny #funnymoments #humour #vr #virtualreality #vrgame #gaming #meme,0,0,0,0,0,False
5000000,0,False,255,40700,2022-02-06T04:51:01.000Z,9100000,67800000,45900,"I was about to eat in a restaurant, but I'm banned tf? #fyp #meme #itsstefano",8,"I was about to eat in a restaurant, but I'm banned tf? #fyp #meme #itsstefano",0,0,0,0,0,False
3200000,617,False,109,467000,2020-06-17T20:27:34.000Z,37200000,299500000,2800000,Repost  #catsoftiktok #viral #funny #cute #cutness #foryoupage,13,Repost #catsoftiktok #viral #funny #cute #cutness #foryoupage,0,0,0,0,0,False
5100000,37,False,136,233600,2021-01-09T15:38:27.000Z,20000000,227100000,1300000,Wee #foryou #foryoupage #tiktok #wee #funny #dog #animals #4u #xyzbca #fypage #fail #fyp #viral,7,Wee #foryou #foryoupage #tiktok #wee #funny #dog #animals #4u #xyzbca #fypage #fail #fyp #viral,0,0,0,0,0,False
8000000,69,True,147,214600,2020-09-05T23:27:18.000Z,19400000,169500000,433300,Our WHOLE Zoom class pranked our teacher  (she was so confused!!) #foryou #foryoupage #fyp #tiktok #viral #funny #trend #trending #funny #lol,14,Our WHOLE Zoom class pranked our teacher (she was so confused!!) #foryou #foryoupage #fyp #tiktok #viral #funny #trend #trending #funny #lol,2,0,0,1,0,True
1500000,69,False,19,151700,2021-02-02T21:23:50.000Z,18900000,110100000,394000,Had to make sure momma was there #funny #fyp #raccoons #love #bff #foryoupage #ThisorThatSBLV,10,Had to make sure momma was there #funny #fyp #raccoons #love #bff #foryoupage #ThisorThatSBLV,0,0,0,0,0,False
7900000,1436,False,2447,103800,2021-10-09T17:23:40.000Z,18900000,177700000,391400,Reply to @hankgreen1 @bunmousa not again #comedy #funny #alopecia,16,Reply to @hankgreen1 @bunmousa not again #comedy #funny #alopecia,0,0,1,0,0,False
4100000,279,False,233,44500,2022-04-04T14:32:45.000Z,17100000,121800000,60300,Who living here? #willsmith #asmr #oddlysatisfying #signs #funny #foryou #fyp @Austin Mollno,51,Who living here? #willsmith #asmr #oddlysatisfying #signs #funny #foryou #fyp @Austin Mollno,0,0,0,0,0,False
8400000,13,False,132,75900,2022-03-22T12:44:33.000Z,16900000,153000000,463900,The end #animal #pet #cats #pets #pets #dogs #animals #dog #wee #funny #cat #fyp #,33,The end #animal #pet #cats #pets #pets #dogs #animals #dog #wee #funny #cat #fyp #,0,0,0,0,0,False
6000000,295,False,2197,117500,2021-06-17T02:34:39.000Z,16600000,122600000,363400,Wow!! #comedy #funny #mickeymouse #mickey #oddlysatisfying,13,Wow!! #comedy #funny #mickeymouse #mickey #oddlysatisfying,0,0,0,0,0,False
46500000,263,True,1280,155600,2020-12-25T14:35:26.000Z,16500000,152100000,159600,@Dasha 님과 #이어찍기 #추천 #fyp #viral #funny #xyzbca #korean #おすすめ,10,@Dasha 님과 #이어찍기 #추천 #fyp #viral #funny #xyzbca #korean #おすすめ,0,0,0,0,0,False
2200000,6,False,89,137300,2022-04-14T02:40:59.000Z,16300000,300600000,989900,#fyp #fun #memes #cute #petdog #foryou #funny #pet,10,#fyp #fun #memes #cute #petdog #foryou #funny #pet,0,0,0,0,0,False
7300000,99,True,425,86100,2022-04-02T17:23:13.000Z,15500000,243800000,281300,That HURT‼️ #virall #funny #prank #fyp #foryourpage #tiktok,11,That HURT‼️ #virall #funny #prank #fyp #foryourpage #tiktok,0,0,0,0,0,False
1300000,182,False,518,154100,2021-05-05T00:56:03.000Z,15400000,79600000,205400,#fyp #meme #funny #meme #vine,11,#fyp #meme #funny #meme #vine,0,0,0,0,0,False
8400000,13,False,132,94500,2022-04-12T13:55:21.000Z,15100000,121700000,393300,The end #funny #pet #animals #pets #dogs #dog #cats #cat #animal #wee #fyp #viral #,46,The end #funny #pet #animals #pets #dogs #dog #cats #cat #animal #wee #fyp #viral #,0,0,0,0,0,False
5100000,37,False,136,170600,2020-12-28T19:51:47.000Z,14700000,127700000,621700,Wee  #foryou #foryoupage #4u #tiktok #animals #xyzbca #fypage #funny #wee #dog #fyp #viral #fy,7,Wee #foryou #foryoupage #4u #tiktok #animals #xyzbca #fypage #funny #wee #dog #fyp #viral #fy,0,0,0,0,0,False
4100000,154,False,315,35800,2022-05-09T12:52:32.000Z,14500000,144400000,192200,#weee # #pets #cat #pet #animals #animal #catlover #fun #dog #funnyy #dogs #cats #funnyvideos #funny #wee,42,#weee # #pets #cat #pet #animals #animal #catlover #fun #dog #funnyy #dogs #cats #funnyvideos #funny #wee,0,0,0,0,0,False
2600000,84,False,385,183700,2020-08-30T23:46:50.000Z,14200000,112300000,1400000,It threw up#cat #petlifes #funny,6,It threw up#cat #petlifes #funny,0,0,0,0,0,False
456100,4,False,55,52200,2022-03-14T12:23:57.000Z,8200000,59600000,94700,women ☕#xh #xuhuongtiktok #xuhuong #memes #jokes #women,23,women ☕#xh #xuhuongtiktok #xuhuong #memes #jokes #women,0,0,0,0,0,False
1700000,2149,True,3543,15800,2021-01-12T16:39:47.000Z,8000000,44300000,12900,She is righting her wrongs. #ootd #gown #dress #designer #love #laugh #comedy #jokes #happy #model #happy #goodvibes  #fashion,33,She is righting her wrongs. #ootd #gown #dress #designer #love #laugh #comedy #jokes #happy #model #happy #goodvibes #fashion,0,0,0,0,0,False
343400,1266,False,377,48700,2021-12-08T02:52:22.000Z,7900000,53300000,101500,This is how it’s done fellas  #wife #married #couple #funny #jokes,59,This is how it’s done fellas #wife #married #couple #funny #jokes,0,0,0,0,0,False
3400000,40,False,178,45100,2021-05-01T21:11:52.000Z,7200000,29000000,129100,She never understands these..☠️ #fyp #foryou #viral #fypシ #jokes #funnyjokes,15,She never understands these..☠️ #fyp #foryou #viral #fypシ #jokes #funnyjokes,0,0,1,0,0,False
242100,857,False,480,33900,2022-01-09T21:28:00.000Z,7200000,39800000,36200,Saw this trend and had to do it #routine #college #sorority #couplecomedy #jokes #foryou,13,Saw this trend and had to do it #routine #college #sorority #couplecomedy #jokes #foryou,0,0,0,0,0,False
352200,507,False,115,8351,2021-08-08T19:40:18.000Z,6600000,35100000,35200,Pt.2 Times my jokes haven’t gone according to plan  #joke #jokes #dadjokes #mumjokes #jokeswithmom #entertainment #dadjoke #laugh #jokess #bloopers,38,Pt.2 Times my jokes haven’t gone according to plan #joke #jokes #dadjokes #mumjokes #jokeswithmom #entertainment #dadjoke #laugh #jokess #bloopers,0,0,2,0,0,False
508100,1494,False,1463,45900,2022-04-04T21:25:19.000Z,6500000,33600000,230800,Too much “the office” Perfectly executed and I have to act upset. Bless. #momsoftiktok #jokes,18,Too much “the office” Perfectly executed and I have to act upset. Bless. #momsoftiktok #jokes,0,0,0,0,0,False
68100,88,False,210,46400,2021-08-10T18:50:36.000Z,6500000,26100000,75700,omg now im ashamed of her  #jokes #viral,16,omg now im ashamed of her #jokes #viral,0,0,0,0,0,False
274400,1509,False,75,62100,2020-07-20T21:18:50.000Z,6400000,25800000,197400,Jokes on him #momsoftiktok #30andoverclub #jokes,39,Jokes on him #momsoftiktok #30andoverclub #jokes,0,0,0,0,0,False
265000,573,False,113,13600,2021-06-20T03:36:38.000Z,6200000,45800000,7868,he is honestly working on his day off and it has me weak because this our vacation for Father’s Day #iCarlyAffirmation #jokes #xyzbca,31,he is honestly working on his day off and it has me weak because this our vacation for Father’s Day #iCarlyAffirmation #jokes #xyzbca,1,0,0,0,0,False
792400,705,False,1039,37400,2021-12-15T02:17:58.000Z,6100000,33800000,441100,BLIND REACT! Can you send a 2 year old to art school?? #limblossboss #dreamteamprosthetics #amputee #darkhumour #dadjokes #jokes #funny #comedy #lol #a,13,BLIND REACT! Can you send a 2 year old to art school?? #limblossboss #dreamteamprosthetics #amputee #darkhumour #dadjokes #jokes #funny #comedy #lol #a,0,0,0,0,0,False
4600000,2392,False,578,19200,2020-05-06T21:01:01.000Z,6100000,41900000,257100,What’s the difference?  #jokes #fyp #foryou #foryoupage #viral #innapropriate #trend,9,What’s the difference? #jokes #fyp #foryou #foryoupage #viral #innapropriate #trend,0,0,0,0,0,False
147500,34,False,17,52400,2022-04-05T17:59:23.000Z,6000000,50200000,281900,#fyp #foryourpage #jokes #jokesintheoffice #tuesday #scaredthehelloutofme @marlybautizta,7,#fyp #foryourpage #jokes #jokesintheoffice #tuesday #scaredthehelloutofme @marlybautizta,0,0,0,0,0,False
