id,likesCount,owner/is_mentionable,owner/is_private,owner/is_verified,repliesCount,text,timestamp
18059684816281581,1,TRUE,TRUE,FALSE,0,❤️❤️❤️,2025-04-16T09:56:55.000Z
18078007339742672,1,FALSE,TRUE,FALSE,0,👏👏👏👏👏👏👏👏,2025-04-16T09:56:17.000Z
17894322462199128,1,TRUE,FALSE,TRUE,0,🔥👏,2025-04-16T10:01:41.000Z
18073369624874273,233,TRUE,FALSE,TRUE,1,“I’m a horrible person but I make it okay by showcasing my dog”,2025-04-16T09:59:00.000Z
17859325476395396,93,TRUE,TRUE,FALSE,2,The country is imploding and they are in there playing around with dogs.,2025-04-16T09:59:13.000Z
18062205962019492,2,TRUE,FALSE,TRUE,0,Great message 👏❤️,2025-04-16T10:05:23.000Z
18326741518161813,44,TRUE,TRUE,FALSE,4,So tf this mean??? President should be a dog to make us all happy?,2025-04-16T10:00:47.000Z
18028796843392710,22,TRUE,FALSE,FALSE,1,WTF and why #Distractions,2025-04-16T09:58:42.000Z
18340214185085576,18,TRUE,TRUE,FALSE,1,He is an embarrasement to my home state. Love the dog but feel sorry for who she lives with,2025-04-16T10:02:55.000Z
18075813403826612,1,TRUE,FALSE,FALSE,0,❤️❤️❤️❤️,2025-04-16T09:55:26.000Z
18062535917071553,73,TRUE,TRUE,FALSE,1,"So, do something, Jim. We don’t need these shenanigans with your spitting image pup. We need action.",2025-04-16T10:01:21.000Z
18054137039242023,4,TRUE,TRUE,FALSE,0,Twins,2025-04-16T09:59:00.000Z
18043691231430347,12,FALSE,TRUE,FALSE,0,,2025-04-16T10:03:09.000Z
17963639696881391,2,TRUE,TRUE,FALSE,0,We need term limits asap,2025-04-16T10:08:25.000Z
18391442602112033,3,TRUE,TRUE,FALSE,0,He’s embarrassing,2025-04-16T10:02:32.000Z
18026777324422613,12173,FALSE,FALSE,TRUE,113,"No comments about the poor old man. He could have a broken hip, bone, or a concussion.",2025-04-16T00:47:04.000Z
17945783009973133,9066,TRUE,TRUE,FALSE,185,"So what you were telling me is he was walking into court, in accordance with the United States legal process, and instead of getting to go to his hearing he’s been kidnapped and sent off to a detention center?",2025-04-16T00:50:15.000Z
17975637284835389,5838,TRUE,FALSE,FALSE,126,What the FUCK is going on in this country,2025-04-16T00:42:12.000Z
17928783768044240,1521,TRUE,FALSE,FALSE,21,Due process has left the chat,2025-04-16T01:14:49.000Z
17861086377391170,92,TRUE,FALSE,FALSE,0,What’s the update on the poor innocent elderly bystander?,2025-04-16T01:30:59.000Z
"1,81E+16",2201,TRUE,FALSE,FALSE,18,Bystander just got paid,2025-04-16T00:42:23.000Z
18106680388494714,665,TRUE,FALSE,FALSE,17,I bet these guys feel realllll cool,2025-04-16T00:49:54.000Z
17891155668229832,680,TRUE,TRUE,FALSE,3,Nobody checked on the poor old man on the floor!?,2025-04-16T00:53:21.000Z
