,authorMeta/fans,authorMeta/following,authorMeta/verified,authorMeta/video,commentCount,createTimeISO,diggCount,playCount,shareCount,text,videoMeta/duration,sentiment,we_count,them_count
0,13200000,28,True,303,66000,2020-02-25T12:11:06.000Z,19300000,200600000,377700,Ara Woah  #woah  #woahchallenge  #foryou  #fyp  #meme  #이아라  #틱톡  #tiktok,17,"{'label': 'neutral', 'score': 0.6922502517700195}",0,0
1,1300000,182,False,518,154100,2021-05-05T00:56:03.000Z,15400000,79600000,205400,#fyp #meme #funny #meme #vine,11,"{'label': 'positive', 'score': 0.6827881336212158}",0,0
2,696800,42,False,90,55300,2022-04-07T14:05:06.000Z,13900000,106100000,323000,The end #funny #funnyvideos #animals #haha #meme #dog #cat #fypage #viral #pets,25,"{'label': 'positive', 'score': 0.848612368106842}",0,0
3,510200,56,False,84,70600,2022-05-11T13:15:07.000Z,13100000,72500000,133400,Try not to laugh  hard #meme #trynottolaughtiktoktv,62,"{'label': 'neutral', 'score': 0.6060034036636353}",0,0
4,3300000,690,True,247,35500,2020-04-14T02:04:47.000Z,13100000,62700000,252900,HE DIDN’T HAVE HIS MASK ON  @abbysherm (Follow my insta: JakeyPooV) #fyp #vent #meme #joke,36,"{'label': 'neutral', 'score': 0.7201117873191833}",0,0
5,646700,86,False,127,205200,2021-02-20T21:30:27.000Z,12800000,100800000,795700,DOGS ARE THE BEST . #fyp #foryou #veryfunny #dog #meme #clip,10,"{'label': 'positive', 'score': 0.9748666882514954}",0,0
6,8000000,69,True,147,59900,2019-10-04T22:51:14.000Z,12500000,133200000,707400,The last guy tho  #lol #funny #foryou #foryoupage #fail #meme #relatable #crazy #wow #haha,18,"{'label': 'positive', 'score': 0.8946304321289062}",0,0
7,227000,208,False,3173,113200,2021-12-24T21:05:34.000Z,12100000,69400000,337900,It’s funny how each of them are so different #spiderman #tobeymaguire #andrewgarfield #tomholland #meme #mcu #marveltok #fyp #viral #nowayhome,16,"{'label': 'neutral', 'score': 0.5952433943748474}",0,1
8,5800000,2775,True,670,100900,2019-03-01T04:48:20.000Z,11600000,149500000,1200000,Teaching Granny Meme Songs  #foryou #comedy #dametucosita #fox #gmoney #music #meme #lol,13,"{'label': 'neutral', 'score': 0.6081758141517639}",1,0
9,8000000,69,True,147,54500,2020-04-28T19:05:20.000Z,11300000,83100000,196600,Our WHOLE class pranked our teacher Pt.12  (Come back in 24 hours for Part 13) #foryou #foryoupage #fyp #viral #funny #comedy #tiktok #trend #meme,19,"{'label': 'positive', 'score': 0.719185471534729}",2,0
