authorMeta/fans,authorMeta/following,authorMeta/verified,authorMeta/video,commentCount,createTimeISO,diggCount,playCount,shareCount,text,videoMeta/duration
13200000,28,TRUE,303,66000,2020-02-25T12:11:06.000Z,19300000,200600000,377700,Ara Woah  #woah  #woahchallenge  #foryou  #fyp  #meme  #이아라  #틱톡  #tiktok,17
1300000,182,FALSE,518,154100,2021-05-05T00:56:03.000Z,15400000,79600000,205400,#fyp #meme #funny #meme #vine,11
696800,42,FALSE,90,55300,2022-04-07T14:05:06.000Z,13900000,106100000,323000,The end #funny #funnyvideos #animals #haha #meme #dog #cat #fypage #viral #pets,25
510200,56,FALSE,84,70600,2022-05-11T13:15:07.000Z,13100000,72500000,133400,Try not to laugh  hard #meme #trynottolaughtiktoktv,62
3300000,690,TRUE,247,35500,2020-04-14T02:04:47.000Z,13100000,62700000,252900,HE DIDN’T HAVE HIS MASK ON  @abbysherm (Follow my insta: JakeyPooV) #fyp #vent #meme #joke,36
646700,86,FALSE,127,205200,2021-02-20T21:30:27.000Z,12800000,100800000,795700,DOGS ARE THE BEST . #fyp #foryou #veryfunny #dog #meme #clip,10
8000000,69,TRUE,147,59900,2019-10-04T22:51:14.000Z,12500000,133200000,707400,The last guy tho  #lol #funny #foryou #foryoupage #fail #meme #relatable #crazy #wow #haha,18
227000,208,FALSE,3173,113200,2021-12-24T21:05:34.000Z,12100000,69400000,337900,It’s funny how each of them are so different #spiderman #tobeymaguire #andrewgarfield #tomholland #meme #mcu #marveltok #fyp #viral #nowayhome,16
5800000,2775,TRUE,670,100900,2019-03-01T04:48:20.000Z,11600000,149500000,1200000,Teaching Granny Meme Songs  #foryou #comedy #dametucosita #fox #gmoney #music #meme #lol,13
8000000,69,TRUE,147,54500,2020-04-28T19:05:20.000Z,11300000,83100000,196600,Our WHOLE class pranked our teacher Pt.12  (Come back in 24 hours for Part 13) #foryou #foryoupage #fyp #viral #funny #comedy #tiktok #trend #meme,19
6900000,561,TRUE,1700,46900,2021-04-17T11:17:40.000Z,9500000,109300000,10300,Reply to @_pelin_9 Making Cotton Candy What should I try? Ib: @mooyahyah ✨ #candy #foryou #meme #foryoupage #viral #fyp #asmr,18
2200000,150,FALSE,68,66200,2021-07-30T22:05:54.000Z,9500000,35800000,109800,jimmy fallon is sooo suspicious like what’s wrong jimmathan #viral #comedy #meme #xyzcba,14
150200,52,FALSE,5,102300,2022-02-16T16:08:40.000Z,9300000,54000000,505600,#pourtoi#drole#meme,9
10600000,23,TRUE,820,56600,2020-03-30T10:27:15.000Z,9200000,65000000,522800,His no-no square #memes #comedy #funny #funnymoments #humour #vr #virtualreality #vrgame #gaming #meme,10
5000000,0,FALSE,255,40700,2022-02-06T04:51:01.000Z,9100000,67800000,45900,"I was about to eat in a restaurant, but I'm banned tf? #fyp #meme #itsstefano",8
3200000,617,FALSE,109,467000,2020-06-17T20:27:34.000Z,37200000,299500000,2800000,Repost  #catsoftiktok #viral #funny #cute #cutness #foryoupage,13
5100000,37,FALSE,136,233600,2021-01-09T15:38:27.000Z,20000000,227100000,1300000,Wee #foryou #foryoupage #tiktok #wee #funny #dog #animals #4u #xyzbca #fypage #fail #fyp #viral,7
8000000,69,TRUE,147,214600,2020-09-05T23:27:18.000Z,19400000,169500000,433300,Our WHOLE Zoom class pranked our teacher  (she was so confused!!) #foryou #foryoupage #fyp #tiktok #viral #funny #trend #trending #funny #lol,14
1500000,69,FALSE,19,151700,2021-02-02T21:23:50.000Z,18900000,110100000,394000,Had to make sure momma was there #funny #fyp #raccoons #love #bff #foryoupage #ThisorThatSBLV,10
7900000,1436,FALSE,2447,103800,2021-10-09T17:23:40.000Z,18900000,177700000,391400,Reply to @hankgreen1 @bunmousa not again #comedy #funny #alopecia,16
4100000,279,FALSE,233,44500,2022-04-04T14:32:45.000Z,17100000,121800000,60300,Who living here? #willsmith #asmr #oddlysatisfying #signs #funny #foryou #fyp @Austin Mollno,51
8400000,13,FALSE,132,75900,2022-03-22T12:44:33.000Z,16900000,153000000,463900,The end #animal #pet #cats #pets #pets #dogs #animals #dog #wee #funny #cat #fyp #,33
6000000,295,FALSE,2197,117500,2021-06-17T02:34:39.000Z,16600000,122600000,363400,Wow!! #comedy #funny #mickeymouse #mickey #oddlysatisfying,13
46500000,263,TRUE,1280,155600,2020-12-25T14:35:26.000Z,16500000,152100000,159600,@Dasha 님과 #이어찍기 #추천 #fyp #viral #funny #xyzbca #korean #おすすめ,10
2200000,6,FALSE,89,137300,2022-04-14T02:40:59.000Z,16300000,300600000,989900,#fyp #fun #memes #cute #petdog #foryou #funny #pet,10
7300000,99,TRUE,425,86100,2022-04-02T17:23:13.000Z,15500000,243800000,281300,That HURT‼️ #virall #funny #prank #fyp #foryourpage #tiktok,11
1300000,182,FALSE,518,154100,2021-05-05T00:56:03.000Z,15400000,79600000,205400,#fyp #meme #funny #meme #vine,11
8400000,13,FALSE,132,94500,2022-04-12T13:55:21.000Z,15100000,121700000,393300,The end #funny #pet #animals #pets #dogs #dog #cats #cat #animal #wee #fyp #viral #,46
5100000,37,FALSE,136,170600,2020-12-28T19:51:47.000Z,14700000,127700000,621700,Wee  #foryou #foryoupage #4u #tiktok #animals #xyzbca #fypage #funny #wee #dog #fyp #viral #fy,7
4100000,154,FALSE,315,35800,2022-05-09T12:52:32.000Z,14500000,144400000,192200,#weee # #pets #cat #pet #animals #animal #catlover #fun #dog #funnyy #dogs #cats #funnyvideos #funny #wee,42
2600000,84,FALSE,385,183700,2020-08-30T23:46:50.000Z,14200000,112300000,1400000,It threw up#cat #petlifes #funny,6
456100,4,FALSE,55,52200,2022-03-14T12:23:57.000Z,8200000,59600000,94700,women ☕#xh #xuhuongtiktok #xuhuong #memes #jokes #women,23
1700000,2149,TRUE,3543,15800,2021-01-12T16:39:47.000Z,8000000,44300000,12900,She is righting her wrongs. #ootd #gown #dress #designer #love #laugh #comedy #jokes #happy #model #happy #goodvibes  #fashion,33
343400,1266,FALSE,377,48700,2021-12-08T02:52:22.000Z,7900000,53300000,101500,This is how it’s done fellas  #wife #married #couple #funny #jokes,59
3400000,40,FALSE,178,45100,2021-05-01T21:11:52.000Z,7200000,29000000,129100,She never understands these..☠️ #fyp #foryou #viral #fypシ #jokes #funnyjokes,15
242100,857,FALSE,480,33900,2022-01-09T21:28:00.000Z,7200000,39800000,36200,Saw this trend and had to do it #routine #college #sorority #couplecomedy #jokes #foryou,13
352200,507,FALSE,115,8351,2021-08-08T19:40:18.000Z,6600000,35100000,35200,Pt.2 Times my jokes haven’t gone according to plan  #joke #jokes #dadjokes #mumjokes #jokeswithmom #entertainment #dadjoke #laugh #jokess #bloopers,38
508100,1494,FALSE,1463,45900,2022-04-04T21:25:19.000Z,6500000,33600000,230800,Too much “the office” Perfectly executed and I have to act upset. Bless. #momsoftiktok #jokes,18
68100,88,FALSE,210,46400,2021-08-10T18:50:36.000Z,6500000,26100000,75700,omg now im ashamed of her  #jokes #viral,16
274400,1509,FALSE,75,62100,2020-07-20T21:18:50.000Z,6400000,25800000,197400,Jokes on him #momsoftiktok #30andoverclub #jokes,39
265000,573,FALSE,113,13600,2021-06-20T03:36:38.000Z,6200000,45800000,7868,he is honestly working on his day off and it has me weak because this our vacation for Father’s Day #iCarlyAffirmation #jokes #xyzbca,31
792400,705,FALSE,1039,37400,2021-12-15T02:17:58.000Z,6100000,33800000,441100,BLIND REACT! Can you send a 2 year old to art school?? #limblossboss #dreamteamprosthetics #amputee #darkhumour #dadjokes #jokes #funny #comedy #lol #a,13
4600000,2392,FALSE,578,19200,2020-05-06T21:01:01.000Z,6100000,41900000,257100,What’s the difference?  #jokes #fyp #foryou #foryoupage #viral #innapropriate #trend,9
147500,34,FALSE,17,52400,2022-04-05T17:59:23.000Z,6000000,50200000,281900,#fyp #foryourpage #jokes #jokesintheoffice #tuesday #scaredthehelloutofme @marlybautizta,7
278600,332,FALSE,757,17400,2022-02-12T22:54:49.000Z,5600000,36900000,211300,#stitch with @gavinfujjj unreal!! #stitch #fypシ #WTF #jokes #funniest #foryoupage #fyp #AlaskaAirCAREoke #crazy #lmao #fish #dogshit,15
31700,94,FALSE,108,61300,2021-12-22T17:34:57.000Z,5500000,24600000,108100,They’re so innocent  #fyp #jokes #parents #foryou #lol,16
1300000,182,FALSE,518,154100,2021-05-05T00:56:03.000Z,15400000,79600000,205400,#fyp #meme #funny #meme #vine,11
960500,1286,FALSE,493,82800,2021-09-24T06:40:54.000Z,8900000,78200000,165100,Well the table broke! ‍♂️ #fyp #fypシ #meme #trend #tablebroke #osu #osugame #godmode #viral,13
8700000,4,TRUE,89,84900,2021-05-06T14:51:50.000Z,8700000,89800000,17700,So simple ‍♂️ @mingweirocks #meme #fail #funny #foryou #viral,21
2400000,440,FALSE,10200,56200,2022-02-14T20:56:50.000Z,8700000,51300000,263600,Nobody got hurt everything is Protected  no Danger no Violation everything is Staged and Fake #meme #foryou #funnyvideos  #joke,12
2400000,20,FALSE,181,67600,2021-07-15T18:33:26.000Z,8700000,102300000,368600,Wee #foryou #foryoupage #funny #viral #wee #meme #animals #funnyvideo #4u #fypage #funnyanimals #fyp,7
1300000,182,FALSE,518,154100,2021-05-05T00:56:03.000Z,15400000,79600000,205400,#fyp #meme #funny #meme #vine,11
46500000,263,TRUE,1280,71700,2021-01-16T15:09:09.000Z,14000000,160400000,61600,@❤️Sasha&Vanya&Roma❤️ 님과 #이어찍기  #추천 #fyp #viral #funny #xyzbca #おすすめ,18
696800,42,FALSE,90,55300,2022-04-07T14:05:06.000Z,13900000,106100000,323000,The end #funny #funnyvideos #animals #haha #meme #dog #cat #fypage #viral #pets,25
3300000,46,FALSE,263,88800,2021-07-31T16:39:28.000Z,13800000,143800000,223400,Wait / Go #fypシ #charlie #wait #go #funny #cute #comedy,16
4600000,1016,FALSE,1341,11000,2020-03-07T22:43:56.000Z,5300000,34700000,273800,Follow my insta @drakekiker #AfterMyCoffee #shykids #ChilisBirthday #diyproject #UltraSmoothMoves #joke #jokes #joker #funny #luagh #fy #fyp #foryоu,39
333400,533,FALSE,77,5660,2021-08-19T19:34:15.000Z,5200000,34200000,25600,Wait till the end  #prank #pranks #tattoo #funn #fyp #jokes,30
9700000,140,FALSE,667,25800,2021-02-05T21:52:47.000Z,5100000,28100000,124900,Dommy has a way with words. #jokes #comedy #laugh #hilarious #minnesota #winona #kickasslife #oldjokes,32
1300000,421,FALSE,92,9629,2020-04-17T04:18:11.000Z,5100000,26800000,56400,Sister’s BF gotta go #fyp #4u #foryoupage #stayhomestaystrong #toxic #jokes #tiktok,42
875700,240,FALSE,109,58700,2021-01-11T05:09:45.000Z,5000000,27300000,64700,Don’t ask where I get the inspiration for some of these bc I don’t know hhaha tag them‍♂️ #foryou #drawing #jokes,12
3800000,363,TRUE,174,324700,2019-10-30T21:59:00.000Z,27700000,324500000,2100000,You guys (literally) asked for this  #comedy #fyp #wtbdijw,8
7900000,1436,FALSE,2447,103800,2021-10-09T17:23:40.000Z,18900000,177700000,391400,Reply to @hankgreen1 @bunmousa not again #comedy #funny #alopecia,16
55000000,8858,TRUE,1310,94400,2020-02-16T03:40:01.000Z,17600000,226300000,167100,Shaving prank gone wrong  #trend #comedy #prank #fail,16
6000000,295,FALSE,2197,117500,2021-06-17T02:34:39.000Z,16600000,122600000,363400,Wow!! #comedy #funny #mickeymouse #mickey #oddlysatisfying,13
1600000,50,FALSE,31,176500,2021-11-25T00:42:03.000Z,16100000,91600000,443300,#fyp #foryou #comedy #relatable #ratchetehitegirl #school #bus,28
18600000,1644,TRUE,1164,21100,2020-01-19T23:09:08.000Z,14500000,126700000,80300,Got my parents so good with this shaving prank  #trend #comedy #prank,10
26700000,117,TRUE,299,94700,2020-06-01T20:08:25.000Z,13800000,78500000,238900,People VS. Cartoons Ep. 4 #cartoons #comedy #humor #wholesome,58
3300000,46,FALSE,263,88800,2021-07-31T16:39:28.000Z,13800000,143800000,223400,Wait / Go #fypシ #charlie #wait #go #funny #cute #comedy,16
359400,63,FALSE,54,178800,2020-05-23T03:30:48.000Z,13700000,76900000,673200,Netflix vs reality  #neverhaveiever #fyp #inyourface #viral #trend #tiktok #comedy,10
21200000,34,TRUE,790,132900,2021-07-21T14:56:20.000Z,13700000,118300000,362600,Android vs Apple  #mercuri_88 #littlebrother #mom #foryou #foryoupage #fyp #fypシ #funny #comedy #humor #xyzbca #apple #4u #fy #pov #trend #viral,10
1300000,977,FALSE,597,231900,2021-12-29T19:01:04.000Z,13400000,109800000,397600,#comedy #whatmademeviral #whatmadeyoufamous #blowthisup #dontletthisflop #enablednotdisabled #boxing #trainliketrent #areyounewhere #ohno #andaweeee,8
4700000,224,FALSE,809,131800,2021-05-19T20:59:19.000Z,13400000,86300000,552000,Dustin made a new friend shheeEeEEEEE #fyp #4u #comedy #kidsbelike,32
4000000,124,TRUE,83,123600,2020-08-26T00:41:34.000Z,13200000,64200000,388200,So yall just thought I didn’t have a mom? #comedy #africanparents #viral #fyp,31
55000000,8858,TRUE,1310,15600,2020-01-28T06:15:15.000Z,12700000,146800000,72100,Pranked my barber today  #trend #comedy #prank,11
6900000,69,TRUE,85,82500,2022-01-05T20:44:47.000Z,12500000,73000000,412600,Welcome to the mouth #comedy #fyp,39
1600000,5,FALSE,358,122800,2022-02-07T19:33:13.000Z,12600000,73400000,1000000,Still gets me every time #gheefunny #mcdonaldshacks #fyp #foryoupage #DIYwithBlock #foryou #viral #famous #funny #comedy #hilarious #fy #fypシ #share,42
5400000,3132,FALSE,571,140600,2021-07-11T18:54:31.000Z,12200000,57600000,280500,#distorted #grandpa #cool #grandma #comedy #foryou #fypisbroken #DontSpillChallenge,8
5800000,2775,TRUE,670,100900,2019-03-01T04:48:20.000Z,11600000,149500000,1200000,Teaching Granny Meme Songs  #foryou #comedy #dametucosita #fox #gmoney #music #meme #lol,13
55000000,8858,TRUE,1310,20500,2020-01-02T06:56:33.000Z,11400000,105800000,67500,Head hitting beatbox prank  Got them good  @jonklaasen @elyssajoy_ #beatbox #comedy #prank,9
104200,495,FALSE,65,105900,2022-03-02T14:19:53.000Z,12400000,53200000,226300,NERF GUN!!!! #funny #choir #singing #comedy,11
